CUSTOMER_ID,CUSTOMER_NAME,AGE,MARITAL_STATUS,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,HOUSE_TYPE,CITY,STATE
A00004590,Georgia Ikard,46,Y,Y,3,MI,Bachelor,Mortgage,Panama City,FL
A00002462,Danny Lawrence,41,Y,Y,3,MI,High School,Rent,Orange,CA
A00009050,Francisca Alvarez,28,Y,Y,2,LI,NA,Own,Annapolis,MD
A00004154,Wilbur Yousef,26,N,Y,5,MI,High School,Rent,Savannah,GA
A00002031,Arlene Serrano,37,Y,Y,7,MI,Bachelor,Own,Arvada,CO
A00005252,Latanya Walton,44,N,Y,4,MI,High School,Mortgage,Brentwood,TN
A00001166,Ruth Harris,27,Y,Y,4,MI,Bachelor,Rent,Anchorage,AK
A00002959,Ray Holcomb,28,N,Y,5,LI,Bachelor,Mortgage,Annapolis,MD
A00006741,Laura Larrabee,25,Y,Y,2,LI,Masters,Mortgage,Aurora,CO
A00001063,Sara Morse,64,Y,Y,7,HI,High School,Own,Fayetteville,AR
A00007566,Marcella Brown,46,Y,Y,4,MI,Bachelor,Own,Townshend,VT
A00001084,Margaret Keith,51,Y,Y,5,LI,College,Rent,Orange,CA
A00003840,Cynthia Backes,59,Y,Y,2,MI,PhD,Rent,Pooler,GA
A00000718,Daniel Keath,41,N,Y,6,HI,MD,Own,Washington,DC
A00009176,Debra Heyne,55,Y,N,5,LI,Bachelor,Rent,Montgomery,AL
A00007033,Dianna Nieland,58,Y,Y,2,HI,Bachelor,Rent,Louisville,KY
A00004086,Nancy Martens,33,Y,Y,5,MI,Bachelor,Mortgage,Anchorage,AK
A00009389,Mark Dimaio,44,Y,Y,4,MI,NA,Own,Rutland,VT
A00004637,Darlene Gibler,27,Y,Y,4,MI,High School,Own,Savannah,GA
A00003847,Ronnie Wade,42,N,Y,3,MI,PhD,Rent,Berkeley,CA
A00000508,Kirsten Hurd,63,Y,Y,7,LI,MD,Own,Savannah,GA
A00000920,Abel Spann,32,Y,N,4,MI,Bachelor,Rent,Fayetteville,AR
A00006978,Sharon Franklin,39,Y,Y,6,MI,College,Mortgage,Washington,DC
A00000163,David Burns,52,Y,Y,3,HI,NA,Mortgage,Hartford,VT
A00003880,Matthew Lutz,43,N,Y,6,HI,Masters,Rent,Savannah,GA
A00006484,Teresa Rogers,64,Y,Y,3,HI,Bachelor,Rent,Anchorage,AK
A00006475,Teresa Mcalpine,25,Y,Y,4,HI,Bachelor,Mortgage,Fayetteville,AR
A00009882,Mary Lane,28,Y,Y,2,HI,Bachelor,Mortgage,Edmond,OK
A00005866,Glen Douglas,62,N,Y,4,MI,Bachelor,Mortgage,Manchester,CT
A00006016,Dolly Rutledge,42,Y,Y,3,HI,Masters,Rent,Severn,MD
A00008567,Joan Dorsey,40,Y,Y,7,MI,High School,Rent,Manchester,CT
A00002506,Ethel Chirino,44,Y,Y,7,MI,High School,Own,Santa Rosa,CA
A00001943,Gerardo Moore,30,Y,Y,3,MI,Bachelor,Mortgage,Arvada,CO
A00004631,John Leath,34,Y,Y,5,MI,High School,Rent,Montgomery,AL
A00008525,Ralph Jones,55,N,Y,4,HI,MD,Mortgage,Saint Albans City,VT
A00002820,Dorothy Worrell,55,Y,Y,3,HI,Bachelor,Rent,Stowe,VT
A00001186,Brian Conley,47,Y,Y,5,MI,Bachelor,Mortgage,Hanover,MD
A00002597,Rodney Miller,39,Y,Y,5,MI,High School,Rent,Crofton,MD
A00007208,Richard Makhija,64,Y,Y,6,MI,High School,Mortgage,Anchorage,AK
A00006631,David Williams,60,Y,Y,3,HI,Bachelor,Own,Glendale,AZ
A00001871,Tony Morris,52,Y,Y,4,HI,Bachelor,Mortgage,Hayward,CA
A00001040,Juan Uribe,48,Y,Y,7,HI,High School,Mortgage,Wolcott,VT
A00003121,Jessica Nosal,31,N,Y,6,MI,Bachelor,Own,Annapolis,MD
A00003068,Raul Scholz,57,Y,Y,4,LI,NA,Rent,Oklahoma City,OK
A00002004,Virginia Anderson,61,Y,Y,3,HI,Masters,Mortgage,Glendale,AZ
A00005195,Candace Crawford,62,Y,Y,3,LI,Bachelor,Own,Louisville,KY
A00001523,Genevieve White,42,Y,Y,4,HI,Bachelor,Mortgage,Norman,OK
A00004304,Marisa Defir,53,N,Y,4,HI,Bachelor,Rent,Everett,MA
A00008902,Dorothy James,62,Y,Y,4,HI,Masters,Own,Middlebury,VT
A00000050,Nathaniel Carter,37,Y,Y,2,MI,Masters,Mortgage,Anchorage,AK
A00008086,Joshua Goodwin,46,N,Y,4,HI,Masters,Rent,Montgomery,AL
A00002925,Anthony Gallo,50,Y,Y,5,MI,Bachelor,Rent,Montgomery,AL
A00006965,Terry Cruz,45,N,Y,3,HI,Bachelor,Rent,Quincy,MA
A00003546,Julia Snell,28,Y,Y,4,MI,Bachelor,Rent,Savannah,GA
A00000640,Shawn Strickland,51,Y,N,5,HI,College,Rent,Richmond,VT
A00002418,Melissa Cook,61,Y,Y,6,HI,Bachelor,Own,Manchester,CT
A00001826,Jack Allison,60,Y,Y,7,MI,High School,Own,Montgomery,AL
A00003184,Robert Paul,62,Y,Y,6,MI,High School,Mortgage,Savannah,GA
A00006674,Lindsey Johnson,61,Y,Y,4,MI,NA,Mortgage,Glendale,AZ
A00003998,Gordon Casale,61,Y,N,3,MI,Bachelor,Rent,Anchorage,AK
A00004570,Ralph Friedman,58,Y,Y,2,LI,Masters,Rent,Montgomery,AL
A00003039,William Schaeffer,36,Y,Y,5,MI,Bachelor,Mortgage,Oakland,CA
A00008918,Nancy Brandt,44,Y,Y,4,HI,Bachelor,Mortgage,Arlington,MA
A00000631,Darin Kahl,48,Y,N,6,LI,High School,Rent,Montgomery,AL
A00006570,Guillermina Garhart,28,Y,Y,3,MI,High School,Rent,Manchester,CT
A00005034,Steve Painter,57,Y,Y,3,LI,Bachelor,Rent,Montgomery,AL
A00007505,Gary Frey,31,N,Y,2,LI,Bachelor,Mortgage,Anchorage,AK
A00006136,Juan Ray,29,Y,N,7,LI,Bachelor,Mortgage,San Leandro,CA
A00008352,Norman Nguyen,39,Y,Y,3,LI,Bachelor,Rent,Anchorage,AK
A00006984,Jerrold Brown,46,Y,Y,5,HI,College,Rent,Panama City,FL
A00000373,Roger Wilson,33,N,Y,6,MI,Bachelor,Own,Dartmouth,MA
A00009186,Suzanne Minnich,55,Y,Y,3,HI,Masters,Own,Manchester,CT
A00005570,Thomas Austin,28,Y,Y,2,LI,High School,Rent,Arvada,CO
A00009446,Leanne Hanson,62,Y,Y,2,LI,Bachelor,Mortgage,Colchester,VT
A00004209,Gloria Perkins,49,Y,Y,7,LI,Masters,Mortgage,Louisville,KY
A00003173,Michael Holt,25,Y,Y,3,MI,Bachelor,Mortgage,Nashville,TN
A00004775,William King,31,Y,Y,2,LI,High School,Own,Savannah,GA
A00009593,Adam Russo,29,Y,Y,5,MI,Bachelor,Own,Arvada,CO
A00005197,Jesse Vautour,60,Y,Y,3,HI,MD,Mortgage,Fayetteville,AR
A00002187,Marx Aichele,28,Y,Y,3,MI,NA,Mortgage,Montgomery,AL
A00007061,Joseph Flood,46,Y,Y,7,LI,College,Rent,Glendale,AZ
A00001079,Ross Rowton,43,Y,Y,6,HI,Bachelor,Own,Arvada,CO
A00005802,Joseph Walt,63,N,Y,3,LI,Bachelor,Own,Oakland,CA
A00008498,Michael Marks,36,Y,Y,5,HI,High School,Mortgage,Anchorage,AK
A00003041,Robert Williams,46,Y,Y,3,HI,College,Own,Arvada,CO
A00008568,Ralph Hughes,32,Y,Y,2,HI,Bachelor,Own,Anchorage,AK
A00003928,Elda Brundidge,56,Y,Y,5,MI,PhD,Own,Washington,DC
A00004899,Kathleen Ogle,38,Y,Y,3,MI,Bachelor,Mortgage,Pooler,GA
A00005449,Nathan Anderson,35,Y,Y,2,HI,High School,Rent,Edgewater,MD
A00007364,Huong Clay,55,Y,Y,3,HI,Bachelor,Own,Savannah,GA
A00000098,Elroy Renner,46,N,Y,7,HI,MD,Rent,Nashville,TN
A00009302,Mary Mckie,38,N,Y,6,MI,High School,Mortgage,Edgewater,MD
A00007083,Mark Bruce,43,Y,Y,2,MI,Masters,Mortgage,Louisville,KY
A00000162,Joetta Anderson,37,Y,Y,6,MI,High School,Mortgage,Fayetteville,AR
A00004325,Alice Vigue,35,N,Y,5,MI,Bachelor,Mortgage,Melrose,MA
A00002918,Jacob Charron,27,Y,Y,3,HI,MD,Rent,Manchester,CT
A00006928,Bobby Ward,53,N,Y,4,MI,College,Own,Montgomery,AL
A00003276,Lora Hodges,56,Y,N,7,MI,Bachelor,Mortgage,Montgomery,AL
A00006145,Catherine Thomas,34,Y,Y,6,MI,High School,Own,Arvada,CO
A00003407,Shirley Peterson,32,Y,Y,6,MI,Bachelor,Mortgage,Arvada,CO
A00004115,Colby Johnson,30,Y,Y,5,LI,Bachelor,Own,Annapolis,MD
A00006400,Rhonda Holt,36,Y,Y,2,MI,High School,Own,Savannah,GA
A00001989,Suzanne Weiss,57,Y,Y,3,MI,Bachelor,Own,Arvada,CO
A00003703,Margaret Hines,42,Y,Y,3,MI,Bachelor,Own,Soda Springs,CA
A00003704,Ana Stecklein,49,Y,Y,4,MI,Bachelor,Mortgage,Eureka,CA
A00006353,Diana Earl,42,N,Y,4,HI,MD,Rent,Fayetteville,AR
A00004190,Alice Garland,26,Y,Y,3,LI,MD,Own,Savannah,GA
A00003731,Soo Roberts,59,N,Y,7,MI,Bachelor,Mortgage,Oklahoma City,OK
A00008641,Ralph Levandowski,56,N,Y,7,LI,College,Rent,San Leandro,CA
A00003425,Roy Fitzgerald,53,Y,Y,2,HI,Bachelor,Mortgage,Fayetteville,AR
A00009664,Jenny Meyers,44,Y,Y,5,LI,Bachelor,Mortgage,Savannah,GA
A00004587,Kevin Cartright,45,N,N,2,LI,Bachelor,Mortgage,San Leandro,CA
A00002049,Emma Englehardt,26,Y,Y,2,LI,Masters,Rent,Glen Burnie,MD
A00007709,Devin Linch,49,Y,Y,4,LI,Bachelor,Rent,San Leandro,CA
A00000899,James Kama,55,N,Y,4,HI,Bachelor,Mortgage,Louisville,KY
A00000217,Chelsea Schulist,44,Y,Y,6,LI,MD,Rent,Annapolis,MD
A00003537,Edward Mckay,58,N,Y,4,MI,Bachelor,Rent,Burlington,VT
A00005669,Susan Fosberg,34,Y,Y,3,HI,NA,Rent,Pooler,GA
A00002155,Marjorie Young,34,Y,N,4,HI,Masters,Rent,Louisville,KY
A00003063,Una Shell,47,Y,Y,7,MI,High School,Own,Peabody,MA
A00006130,John Neff,28,Y,Y,6,LI,High School,Own,Glendale,AZ
A00008418,Richard Cantu,29,Y,Y,6,LI,Bachelor,Own,Wolcott,VT
A00004634,Hector Schaffner,63,Y,Y,2,MI,Bachelor,Mortgage,Quincy,MA
A00005125,Carl Abraham,39,Y,Y,5,LI,Bachelor,Rent,Montgomery,AL
A00005360,Janet Kaiser,37,Y,Y,2,LI,College,Own,Baltimore,MD
A00008503,Patricia Holstein,62,Y,Y,6,MI,Bachelor,Rent,San Leandro,CA
A00006307,Genoveva Hickman,49,Y,Y,3,MI,NA,Mortgage,Nashville,TN
A00003014,Christopher Meyer,40,N,N,2,MI,Bachelor,Rent,Arvada,CO
A00005165,Elizabeth Hart,29,Y,Y,3,MI,Bachelor,Own,Brockton,MA
A00003996,Travis Julian,44,Y,N,4,HI,Bachelor,Mortgage,Saint Albans City,VT
A00003855,Barbara Fisher,60,Y,Y,6,LI,Bachelor,Mortgage,Pasadena,MD
A00009074,Gigi Appleby,64,Y,Y,2,LI,High School,Own,Castaic,CA
A00009942,Jean Gundlach,64,Y,Y,4,LI,High School,Own,Anchorage,AK
A00003426,Debbra Wilcox,62,Y,Y,4,HI,High School,Own,Oklahoma City,OK
A00006242,Rosemary Tang,35,Y,Y,4,MI,MD,Mortgage,Montevallo,AL
A00001902,Shirley Knowlton,27,Y,N,6,LI,College,Own,Glendale,AZ
A00009735,Jeniffer Loew,36,Y,Y,6,LI,High School,Own,Glendale,AZ
A00001419,George Falconio,31,Y,Y,3,LI,College,Mortgage,Fountain,FL
A00005235,Cecile Sweet,63,Y,N,4,HI,MD,Own,Annapolis,MD
A00003036,Richard Rodriguez,61,Y,N,2,LI,High School,Mortgage,Louisville,KY
A00008192,Judy Garcia,31,N,Y,3,MI,Bachelor,Mortgage,Savannah,GA
A00001584,Lois Blackman,39,Y,Y,6,LI,Bachelor,Rent,Panama City Beach,FL
A00007300,Manuel Corson,48,Y,Y,6,LI,High School,Own,Washington,DC
A00005586,Joe George,59,N,Y,6,HI,NA,Mortgage,Arvada,CO
A00005262,Yvonne Stroud,56,N,Y,6,LI,College,Mortgage,Anchorage,AK
A00009316,Jess Boers,37,N,Y,6,MI,MD,Mortgage,Glendale,AZ
A00004280,Peter Wright,56,Y,Y,5,HI,MD,Rent,Fayetteville,AR
A00005416,Michele Bui,52,Y,Y,7,LI,Bachelor,Own,Union City,CA
A00002372,Rafael Weaver,28,Y,Y,4,MI,PhD,Mortgage,Proctor,VT
A00006539,Kimberly Breckenridge,53,Y,Y,5,LI,Bachelor,Rent,Barre,VT
A00001324,Richard Dunbar,34,Y,Y,7,MI,High School,Mortgage,Anchorage,AK
A00000284,Kathryn Dixon,37,Y,Y,6,HI,Bachelor,Rent,Manchester,CT
A00009474,Virginia Barnard,54,Y,Y,6,MI,PhD,Own,Annapolis,MD
A00004737,Sylvia Reyna,55,N,Y,3,MI,Bachelor,Own,Oklahoma City,OK
A00002135,Linda Fuller,47,Y,Y,6,HI,Bachelor,Mortgage,Washington,DC
A00006502,Imogene Russell,44,Y,N,3,LI,High School,Mortgage,Anchorage,AK
A00007176,David Lewis,28,Y,Y,3,LI,High School,Own,Anchorage,AK
A00002123,Joe Seibert,42,Y,Y,7,HI,High School,Own,Glendale,AZ
A00004204,Nancy Chen,44,Y,Y,7,LI,College,Own,Hayward,CA
A00005766,Joey Anderson,26,Y,Y,2,LI,Bachelor,Mortgage,Panama City,FL
A00008222,Kevin Santiago,45,Y,Y,4,HI,Bachelor,Mortgage,Manchester,CT
A00003707,Garrett Wright,60,Y,Y,5,MI,High School,Own,Hayward,CA
A00008098,James Albert,61,N,Y,6,MI,Bachelor,Mortgage,Montgomery,AL
A00003429,Brian Crider,30,Y,Y,3,MI,PhD,Own,Tewksbury,MA
A00005317,Nancy Haynes,54,N,Y,5,HI,College,Mortgage,Nashville,TN
A00002387,Patricia Smith,49,Y,Y,6,MI,Masters,Rent,Nashville,TN
A00001308,Alejandro Myers,39,Y,Y,5,HI,High School,Own,Pasadena,MD
A00009107,Maritza Rotella,38,Y,Y,5,HI,Bachelor,Own,Panama City,FL
A00003696,Reginald Gabrielsen,55,Y,Y,3,HI,Bachelor,Mortgage,Fayetteville,AR
A00009715,Edward Terry,52,Y,Y,6,LI,Masters,Mortgage,Manchester,CT
A00007237,Lorine Hudson,41,Y,Y,6,LI,High School,Rent,Glendale,AZ
A00007291,Simon Robinson,25,Y,Y,4,LI,Masters,Mortgage,Washington,DC
A00009016,Craig Mccollum,27,Y,N,3,LI,High School,Own,Edgewater,MD
A00008755,James Gannett,34,Y,Y,3,MI,Bachelor,Mortgage,Linda,CA
A00001220,George Taylor,46,Y,Y,6,HI,Bachelor,Rent,Glendale,AZ
A00001529,Michael Henke,27,N,Y,5,MI,Bachelor,Rent,Essex,VT
A00005180,Christopher Crutcher,57,Y,Y,4,MI,Masters,Mortgage,Montgomery,AL
A00002245,Jim Martin,44,Y,Y,5,HI,Bachelor,Mortgage,Louisville,KY
A00007022,Billy Miller,46,N,N,5,MI,College,Mortgage,Auburn,MA
A00007192,Jefferson South,28,Y,Y,5,MI,Bachelor,Mortgage,Manchester,CT
A00008694,Douglas Harris,27,Y,Y,2,MI,High School,Mortgage,Anchorage,AK
A00002218,Dinorah Walters,36,Y,Y,4,HI,Masters,Rent,Glen Burnie,MD
A00007295,Ethel Vaughn,50,Y,Y,5,LI,Bachelor,Mortgage,Nashville,TN
A00006861,Ian King,47,Y,Y,3,HI,High School,Mortgage,Rutland,VT
A00003866,Sharon Prasad,44,Y,Y,4,HI,High School,Rent,Anchorage,AK
A00006022,Anthony Douglass,60,Y,N,7,LI,Bachelor,Mortgage,Nashville,TN
A00003846,Deborah Martin,39,Y,Y,2,MI,Bachelor,Own,Berkeley,CA
A00007731,Roy Daly,28,Y,Y,5,MI,High School,Mortgage,Anchorage,AK
A00005008,Victor Barnette,25,Y,Y,2,MI,High School,Mortgage,Manchester,CT
A00002868,Dennis Kovach,36,N,Y,3,MI,Bachelor,Own,Dedham,MA
A00000942,Jackie Ragusa,30,Y,Y,3,HI,Bachelor,Mortgage,Union City,CA
A00009358,Olga Palacios,42,N,Y,7,MI,MD,Rent,Nashville,TN
